"scientificName","canonicalName_curated","rank_verbatim","verbatimName","vernacularName_fromSource","sourceDatasetName","ARGA_datasetID","datasetSource","datasetCitation","dataCurrency","sourceLicense","sourceRightsHolder","edibleWildSpecies","FSANZFoodID","GRINGlobalNomenNumber","ausNativeFood","foodType","recordCurator","recordCuratorID","recordRightsHolder","recordAccessRights","recordType","recordLanguage","recordLicense","recordBibliographicCitation","recordCreated","recordModified","recordDatasetName"
"Acacia colei","Acacia colei","species","Acacia colei Maslin & L. A. J. Thomson","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","409828","","pulse","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acacia colei","Acacia colei","species","Acacia colei Maslin & L. A. J. Thomson","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","409828","","pulse","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acacia mangium","Acacia mangium","species","Acacia mangium Willd.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","403168","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acacia saligna","Acacia saligna","species","Acacia saligna (Labill.) H. L. Wendl.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","981","","gum/mucilage","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acalypha siamensis","Acalypha siamensis","species","Acalypha siamensis Oliv. ex Gage","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","434895","","beverage base","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acalypha wilkesiana","Acalypha wilkesiana","species","Acalypha wilkesiana M?ll. Arg.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","1050","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acanthophoenix rubra","Acanthophoenix rubra","species","Acanthophoenix rubra (Bory) H. Wendl.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","1071","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acanthosicyos horridus","Acanthosicyos horridus","species","Acanthosicyos horridus Welw. ex Benth. & Hook. f.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","1073","","fruit","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acanthosicyos horridus","Acanthosicyos horridus","species","Acanthosicyos horridus Welw. ex Benth. & Hook. f.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","1073","","seeds","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Acca sellowiana","Acca sellowiana","species","Acca sellowiana (O. Berg) Burret","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","319761","","fruit","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
