"scientificName","canonicalName_curated","rank_verbatim","verbatimName","vernacularName_fromSource","sourceDatasetName","ARGA_datasetID","datasetSource","datasetCitation","dataCurrency","sourceLicense","sourceRightsHolder","edibleWildSpecies","FSANZFoodID","GRINGlobalNomenNumber","ausNativeFood","foodType","recordCurator","recordCuratorID","recordRightsHolder","recordAccessRights","recordType","recordLanguage","recordLicense","recordBibliographicCitation","recordCreated","recordModified","recordDatasetName"
"Allanblackia parviflora","Allanblackia parviflora","species","Allanblackia parviflora A. Chev.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","456283","","seeds","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allanblackia stuhlmannii","Allanblackia stuhlmannii","species","Allanblackia stuhlmannii (Engl.) Engl.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","456284","","oil/fat","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium ?cornutum","Allium ?cornutum","hybrid","Allium ?cornutum Clementi","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","459348","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium ?proliferum","Allium ?proliferum","hybrid","Allium ?proliferum (Moench) Schrad. ex Willd.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","404736","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium altaicum","Allium altaicum","species","Allium altaicum Pall.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","2216","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium ampeloprasum var. ampeloprasum","Allium ampeloprasum var. ampeloprasum","variety","Allium ampeloprasum L. var. ampeloprasum","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","400394","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium ampeloprasum var. ampeloprasum","Allium ampeloprasum var. ampeloprasum","variety","Allium ampeloprasum L. var. ampeloprasum","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","400394","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium canadense","Allium canadense","species","Allium canadense L.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","316541","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium carolinianum","Allium carolinianum","species","Allium carolinianum Redout?","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","101416","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium cepa","Allium cepa","species","Allium cepa L.","","Common catalogue of varieties of vegetable species, European Commission","ARGA:TL:0000047","https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf","European Commission. 2023. Common catalogue of varieties of vegetable species - Consolidated version 27.01.2023. Accessed at: https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf, 25 May, 2023.","05/25/2023","CC BY 4.0","European Commission","true","","","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Wed Sep 20 2023 07:24:02 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium cepa","Allium cepa","species","Allium cepa L.","Shallot","Common catalogue of varieties of vegetable species, European Commission","ARGA:TL:0000047","https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf","European Commission. 2023. Common catalogue of varieties of vegetable species - Consolidated version 27.01.2023. Accessed at: https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf, 25 May, 2023.","05/25/2023","CC BY 4.0","European Commission","true","","","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Wed Sep 20 2023 07:24:02 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium cepa","Allium cepa","species","Allium cepa L.","Onion, Echalion","Common catalogue of varieties of vegetable species, European Commission","ARGA:TL:0000047","https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf","European Commission. 2023. Common catalogue of varieties of vegetable species - Consolidated version 27.01.2023. Accessed at: https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf, 25 May, 2023.","05/25/2023","CC BY 4.0","European Commission","true","","","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Wed Sep 20 2023 07:24:03 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium cepa var. aggregatum","Allium cepa var. aggregatum","variety","Allium cepa L. var. aggregatum G. Don","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","101652","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium cepa var. cepa","Allium cepa var. cepa","variety","Allium cepa L. var. cepa","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","409114","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium chinense","Allium chinense","species","Allium chinense G. Don","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","101417","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium fistulosum","Allium fistulosum","species","Allium fistulosum L.","Japanese bunching onion, Welsh onion","Common catalogue of varieties of vegetable species, European Commission","ARGA:TL:0000047","https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf","European Commission. 2023. Common catalogue of varieties of vegetable species - Consolidated version 27.01.2023. Accessed at: https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf, 25 May, 2023.","05/25/2023","CC BY 4.0","European Commission","true","","","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Wed Sep 20 2023 07:24:03 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium fistulosum","Allium fistulosum","species","Allium fistulosum L.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","2276","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium hookeri","Allium hookeri","species","Allium hookeri Thwaites","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","447592","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium hookeri","Allium hookeri","species","Allium hookeri Thwaites","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","447592","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium hookeri","Allium hookeri","species","Allium hookeri Thwaites","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","447592","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium macrostemon","Allium macrostemon","species","Allium macrostemon Bunge","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","2312","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium nutans","Allium nutans","species","Allium nutans L.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","2328","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium porrum","Allium porrum","species","Allium porrum L.","Leek","Common catalogue of varieties of vegetable species, European Commission","ARGA:TL:0000047","https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf","European Commission. 2023. Common catalogue of varieties of vegetable species - Consolidated version 27.01.2023. Accessed at: https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_vegetable-species.pdf, 25 May, 2023.","05/25/2023","CC BY 4.0","European Commission","true","","","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Wed Sep 20 2023 07:24:03 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
"Allium porrum","Allium porrum","species","Allium porrum L.","","GRIN-Global World Economic Plants (US national germplasm resources laboratory)","ARGA:TL:0000114","https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep","USDA, Agricultural Research Service, National Plant Germplasm System. 2023. Germplasm Resources Information Network (GRIN Taxonomy). National Germplasm Resources Laboratory, Beltsville, Maryland. URL: https://npgsweb.ars-grin.gov/gringlobal/taxon/taxonomysearchwep. Accessed 1 June 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","U.S. Department of Agriculture","true","","2351","","vegetable","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/edible-species.","Tue Oct 03 2023 07:35:15 GMT+1000 (Australian Eastern Standard Time)","Thu May 01 2025 23:23:06 GMT+1000 (Australian Eastern Standard Time)","ARGA Edible Wild Species"
