"scientificName","rank","verbatimName","vernacularName","sourceDatasetName","sourceDatasetID","datasetSource","sourceDatasetCitation","sourceDataCurrency","sourceLicense","sourceRightsHolder","migratorySpecies","SPrATSpeciesProfiles","specifiedPopulation(EPBC Act)","CMSAppendix","CMSAgreementsAndMemorandaOfUnderstanding","populationNames","recordCurator","recordRightsHolder","recordAccessRights","recordType","recordLanguage","recordLicense","recordBibliographicCitation","recordCreated","recordModified","recordDatasetName"
"Balaenoptera musculus","species","Blue Whale","","Bonn Convention (CMS) listings according to the EPBC Act","ARGA:TL:0000110","http://www.environment.gov.au/cgi-bin/sprat/public/publicshowmigratory.pl","Department of the Environment (2023). SPRAT EPBC Migratory List in Species Profile and Threats Database, Department of the Environment, Canberra. Available from: http://www.environment.gov.au/sprat. Accessed 2023-12-11.","Mon Dec 11 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 3.0","Commonwealth of Australia","true","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Fri Sep 29 2023 13:40:38 GMT+1000 (Australian Eastern Standard Time)","11 Deember 2023","ARGA Migratory Species"
"Balaenoptera omurai","SPECIES","Balaenoptera omurai","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Balaenoptera physalus","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","ACCOBAMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Balaenoptera physalus","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","Pacific Islands Cetaceans","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Balaenoptera physalus","SPECIES","Balaenoptera physalus","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","I (endangered migratory species)/II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Balaenoptera physalus","species","Fin Whale","","EPBC Act Migratory Species List","ARGA:TL:0000106","http://www.environment.gov.au/cgi-bin/sprat/public/publicshowmigratory.pl","Department of the Environment (2023). SPRAT EPBC Migratory List in Species Profile and Threats Database, Department of the Environment, Canberra. Available from: http://www.environment.gov.au/sprat. Accessed 2023-12-11.","Mon Dec 11 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 3.0","Commonwealth of Australia","true","Balaenoptera physalus","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Fri Sep 29 2023 13:11:50 GMT+1000 (Australian Eastern Standard Time)","11 Deember 2023","ARGA Migratory Species"
"Balaenoptera physalus","species","Fin Whale","","Bonn Convention (CMS) listings according to the EPBC Act","ARGA:TL:0000110","http://www.environment.gov.au/cgi-bin/sprat/public/publicshowmigratory.pl","Department of the Environment (2023). SPRAT EPBC Migratory List in Species Profile and Threats Database, Department of the Environment, Canberra. Available from: http://www.environment.gov.au/sprat. Accessed 2023-12-11.","Mon Dec 11 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 3.0","Commonwealth of Australia","true","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Fri Sep 29 2023 13:40:38 GMT+1000 (Australian Eastern Standard Time)","11 Deember 2023","ARGA Migratory Species"
"Balearica pavonina","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","AEWA","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Balearica regulorum","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","AEWA","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Barbastella barbastellus","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","EUROBATS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Barbastella barbastellus","SPECIES","Vespertilionidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Barbastella caspica","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","EUROBATS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Barbastella leucomelas","SPECIES","Vespertilionidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Bartramia longicauda","SPECIES","Scolopacidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Berardius arnuxii","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","Pacific Islands Cetaceans","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Berardius bairdii","SPECIES","Berardius bairdii","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Berardius bairdii","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","Pacific Islands Cetaceans","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Bos grunniens","SPECIES","Bos grunniens","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","I (endangered migratory species)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Bos sauveli","SPECIES","Bos sauveli","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","I (endangered migratory species)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Botaurus stellaris","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","AEWA","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Botaurus stellaris stellaris","SUBSPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","AEWA","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Botaurus stellaris stellaris","SUBSPECIES","Botaurus stellaris stellaris","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Brachypteryx hyperythra","SPECIES","Muscicapidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Bradornis microrhynchus","SPECIES","Muscicapidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Bradypterus barratti","SPECIES","Muscicapidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Branta bernicla","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","AEWA","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Branta bernicla","SPECIES","Anatidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
